Trabzonspor (Turkish),Manisaspor (Turkish)
Argentinos Juniors (Argentinian),Napoli (Italian)
Argentinos Juniors (Argentinian),Caen (French)
Argentinos Juniors (Argentinian),Gimnasia y Esgrima (La Plata) (Argentinian)
Argentinos Juniors (Argentinian),Aris (Greek)
Arsenal (Argentinian),Estudiantes (La Plata) (Argentinian)
Arsenal (Argentinian),Asteras Tripolis (Greek)
Arsenal (Argentinian),Banfield (Argentinian)
Arsenal (Argentinian),Colón (Santa Fe) (Argentinian)
Arsenal (Argentinian),Gimnasia y Esgrima (La Plata) (Argentinian)
Banfield (Argentinian),Huracán (Argentinian)
Banfield (Argentinian),Argentinos Juniors (Argentinian)
Banfield (Argentinian),Spartak Moscow (Russian)
Banfield (Argentinian),Recreativo Huelva (Spanish)
Banfield (Argentinian),Ajax (Dutch)
Boca Juniors (Argentinian),Catania (Italian)
Boca Juniors (Argentinian),Catania (Italian)
Boca Juniors (Argentinian),Estudiantes (La Plata) (Argentinian)
Boca Juniors (Argentinian),Napoli (Italian)
Boca Juniors (Argentinian),Racing Club (Argentinian)
Boca Juniors (Argentinian),Asteras Tripolis (Greek)
Boca Juniors (Argentinian),Banfield (Argentinian)
Boca Juniors (Argentinian),Recreativo Huelva (Spanish)
Colón (Santa Fe) (Argentinian),Independiente (Argentinian)
Colón (Santa Fe) (Argentinian),Tigre (Argentinian)
Colón (Santa Fe) (Argentinian),Gimnasia y Esgrima (La Plata) (Argentinian)
Colón (Santa Fe) (Argentinian),Huracán (Argentinian)
Colón (Santa Fe) (Argentinian),Independiente (Argentinian)
Colón (Santa Fe) (Argentinian),Independiente (Argentinian)
Colón (Santa Fe) (Argentinian),Argentinos Juniors (Argentinian)
Colón (Santa Fe) (Argentinian),Gimnasia y Esgrima (La Plata) (Argentinian)
Estudiantes (La Plata) (Argentinian),Godoy Cruz (Mendoza) (Argentinian)
Estudiantes (La Plata) (Argentinian),Almería (Spanish)
Estudiantes (La Plata) (Argentinian),Racing Club (Argentinian)
Gimnasia y Esgrima (Jujuy) (Argentinian),San Martín (Tucumán) (Argentinian)
Gimnasia y Esgrima (Jujuy) (Argentinian),San Martín (Tucumán) (Argentinian)
Gimnasia y Esgrima (La Plata) (Argentinian),Marseille (French)
Huracán (Argentinian),Vélez Sarsfield (Argentinian)
Huracán (Argentinian),Estudiantes (La Plata) (Argentinian)
Huracán (Argentinian),Independiente (Argentinian)
Independiente (Argentinian),Argentinos Juniors (Argentinian)
Independiente (Argentinian),Newell's Old Boys (Argentinian)
Independiente (Argentinian),Colón (Santa Fe) (Argentinian)
Independiente (Argentinian),San Martín (Tucumán) (Argentinian)
Independiente (Argentinian),Napoli (Italian)
Independiente (Argentinian),Godoy Cruz (Mendoza) (Argentinian)
Independiente (Argentinian),Arsenal (Argentinian)
Independiente (Argentinian),Cagliari (Italian)
Lanús (Argentinian),AEK (Greek)
Lanús (Argentinian),FC Porto (Portuguese)
Lanús (Argentinian),Sevilla (Spanish)
Lanús (Argentinian),Godoy Cruz (Mendoza) (Argentinian)
Lanús (Argentinian),Rosario Central (Argentinian)
Lanús (Argentinian),Valladolid (Spanish)
Newell's Old Boys (Argentinian),Valladolid (Spanish)
Newell's Old Boys (Argentinian),River Plate (Argentinian)
Newell's Old Boys (Argentinian),Racing Club (Argentinian)
Newell's Old Boys (Argentinian),Rubin Kazan (Russian)
Newell's Old Boys (Argentinian),San Martín (Tucumán) (Argentinian)
Olimpo (Bahía Blanca) (Argentinian),Colón (Santa Fe) (Argentinian)
Olimpo (Bahía Blanca) (Argentinian),Huracán (Argentinian)
Olimpo (Bahía Blanca) (Argentinian),Racing Club (Argentinian)
Olimpo (Bahía Blanca) (Argentinian),River Plate (Argentinian)
Olimpo (Bahía Blanca) (Argentinian),Argentinos Juniors (Argentinian)
Olimpo (Bahía Blanca) (Argentinian),San Martín (Tucumán) (Argentinian)
Olimpo (Bahía Blanca) (Argentinian),Racing Club (Argentinian)
Racing Club (Argentinian),Asteras Tripolis (Greek)
Racing Club (Argentinian),Arsenal (Argentinian)
Racing Club (Argentinian),Sporting Kansas City (USA)
Racing Club (Argentinian),Gimnasia y Esgrima (Jujuy) (Argentinian)
Racing Club (Argentinian),Vélez Sarsfield (Argentinian)
Racing Club (Argentinian),Gimnasia y Esgrima (Jujuy) (Argentinian)
Racing Club (Argentinian),Arsenal (Argentinian)
Racing Club (Argentinian),River Plate (Argentinian)
River Plate (Argentinian),Olympiakos (Greek)
River Plate (Argentinian),Recreativo Huelva (Spanish)
River Plate (Argentinian),Banfield (Argentinian)
River Plate (Argentinian),Udinese (Italian)
River Plate (Argentinian),Gimnasia y Esgrima (La Plata) (Argentinian)
River Plate (Argentinian),Tigre (Argentinian)
Rosario Central (Argentinian),Espanyol (Spanish)
Rosario Central (Argentinian),Vélez Sarsfield (Argentinian)
Rosario Central (Argentinian),Boca Juniors (Argentinian)
Rosario Central (Argentinian),Independiente (Argentinian)
Rosario Central (Argentinian),Gimnasia y Esgrima (La Plata) (Argentinian)
Rosario Central (Argentinian),San Martín (Tucumán) (Argentinian)
San Lorenzo (Argentinian),Metalist Kharkiv (Ukrainian)
San Lorenzo (Argentinian),Estudiantes (La Plata) (Argentinian)
San Lorenzo (Argentinian),Dnipro Dnipropetrovsk (Ukrainian)
San Lorenzo (Argentinian),Godoy Cruz (Mendoza) (Argentinian)
San Martín (San Juan) (Argentinian),Gimnasia y Esgrima (La Plata) (Argentinian)
San Martín (San Juan) (Argentinian),San Martín (Tucumán) (Argentinian)
San Martín (San Juan) (Argentinian),Gimnasia y Esgrima (La Plata) (Argentinian)
Tigre (Argentinian),Chievo Verona (Italian)
Tigre (Argentinian),Espanyol (Spanish)
Tigre (Argentinian),River Plate (Argentinian)
Tigre (Argentinian),Colón (Santa Fe) (Argentinian)
Tigre (Argentinian),Argentinos Juniors (Argentinian)
Vélez Sarsfield (Argentinian),Newell's Old Boys (Argentinian)
Vélez Sarsfield (Argentinian),Banfield (Argentinian)
Vélez Sarsfield (Argentinian),Banfield (Argentinian)
Vélez Sarsfield (Argentinian),Valladolid (Spanish)
Vélez Sarsfield (Argentinian),Lanús (Argentinian)
Vélez Sarsfield (Argentinian),Almería (Spanish)
Vélez Sarsfield (Argentinian),Arsenal (Argentinian)
Vélez Sarsfield (Argentinian),Gimnasia y Esgrima (Jujuy) (Argentinian)
Vélez Sarsfield (Argentinian),Arsenal (Argentinian)
Vélez Sarsfield (Argentinian),Independiente (Argentinian)
Beijing Guo'an (Chinese),Changchun Yatai (Chinese)
Beijing Guo'an (Chinese),Hangzhou Greentown (Chinese)
Changchun Yatai (Chinese),Hangzhou Greentown (Chinese)
Changchun Yatai (Chinese),Beijing Guo'an (Chinese)
Changchun Yatai (Chinese),Shaanxi Chanba (Chinese)
Changchun Yatai (Chinese),Shenzhen Xiangxue (Chinese)
Changsha Ginde (Chinese),Shanghai Shenhua (Chinese)
Changsha Ginde (Chinese),Hangzhou Greentown (Chinese)
Dalian Shide (Chinese),Hangzhou Greentown (Chinese)
Dalian Shide (Chinese),Wuhan Guanggu (Chinese)
Dalian Shide (Chinese),Chengdu Blades (Chinese)
Dalian Shide (Chinese),Shaanxi Chanba (Chinese)
Dalian Shide (Chinese),Henan Jianye (Chinese)
Dalian Shide (Chinese),Qingdao Jonoon (Chinese)
Dalian Shide (Chinese),Chengdu Blades (Chinese)
Henan Jianye (Chinese),Shandong Luneng (Chinese)
Liaoning Huludao (Chinese),Liaoning Hongyun (Chinese)
Liaoning Huludao (Chinese),Dalian Shide (Chinese)
Liaoning Huludao (Chinese),Liaoning Hongyun (Chinese)
Liaoning Huludao (Chinese),Shandong Luneng (Chinese)
Liaoning Huludao (Chinese),Liaoning Hongyun (Chinese)
Liaoning Huludao (Chinese),Liaoning Hongyun (Chinese)
Liaoning Huludao (Chinese),Liaoning Hongyun (Chinese)
Liaoning Huludao (Chinese),Liaoning Hongyun (Chinese)
Liaoning Huludao (Chinese),Liaoning Hongyun (Chinese)
Liaoning Huludao (Chinese),Liaoning Hongyun (Chinese)
Liaoning Huludao (Chinese),Liaoning Hongyun (Chinese)
Liaoning Huludao (Chinese),Liaoning Hongyun (Chinese)
Liaoning Huludao (Chinese),Liaoning Hongyun (Chinese)
Liaoning Huludao (Chinese),Liaoning Hongyun (Chinese)
Liaoning Huludao (Chinese),Liaoning Hongyun (Chinese)
Liaoning Huludao (Chinese),Liaoning Hongyun (Chinese)
Liaoning Huludao (Chinese),Liaoning Hongyun (Chinese)
Liaoning Huludao (Chinese),Liaoning Hongyun (Chinese)
Liaoning Huludao (Chinese),Liaoning Hongyun (Chinese)
Liaoning Huludao (Chinese),Liaoning Hongyun (Chinese)
Liaoning Huludao (Chinese),Liaoning Hongyun (Chinese)
Liaoning Huludao (Chinese),Liaoning Hongyun (Chinese)
Liaoning Huludao (Chinese),Liaoning Hongyun (Chinese)
Liaoning Huludao (Chinese),Liaoning Hongyun (Chinese)
Qingdao Zhongneng (Chinese),Qingdao Jonoon (Chinese)
Qingdao Zhongneng (Chinese),Qingdao Jonoon (Chinese)
Qingdao Zhongneng (Chinese),Qingdao Jonoon (Chinese)
Qingdao Zhongneng (Chinese),Qingdao Jonoon (Chinese)
Qingdao Zhongneng (Chinese),Changchun Yatai (Chinese)
Qingdao Zhongneng (Chinese),Qingdao Jonoon (Chinese)
Qingdao Zhongneng (Chinese),Qingdao Jonoon (Chinese)
Qingdao Zhongneng (Chinese),Qingdao Jonoon (Chinese)
Qingdao Zhongneng (Chinese),Qingdao Jonoon (Chinese)
Qingdao Zhongneng (Chinese),Qingdao Jonoon (Chinese)
Qingdao Zhongneng (Chinese),Qingdao Jonoon (Chinese)
Qingdao Zhongneng (Chinese),Qingdao Jonoon (Chinese)
Qingdao Zhongneng (Chinese),Qingdao Jonoon (Chinese)
Qingdao Zhongneng (Chinese),Chengdu Blades (Chinese)
Qingdao Zhongneng (Chinese),Changchun Yatai (Chinese)
Qingdao Zhongneng (Chinese),Qingdao Jonoon (Chinese)
Qingdao Zhongneng (Chinese),Qingdao Jonoon (Chinese)
Qingdao Zhongneng (Chinese),Qingdao Jonoon (Chinese)
Qingdao Zhongneng (Chinese),Qingdao Jonoon (Chinese)
Qingdao Zhongneng (Chinese),Qingdao Jonoon (Chinese)
Qingdao Zhongneng (Chinese),Qingdao Jonoon (Chinese)
Qingdao Zhongneng (Chinese),Qingdao Jonoon (Chinese)
Qingdao Zhongneng (Chinese),Qingdao Jonoon (Chinese)
Qingdao Zhongneng (Chinese),Qingdao Jonoon (Chinese)
Shaanxi Baorong (Chinese),Shaanxi Chanba (Chinese)
Shaanxi Baorong (Chinese),Shaanxi Chanba (Chinese)
Shaanxi Baorong (Chinese),Shaanxi Chanba (Chinese)
Shaanxi Baorong (Chinese),Shaanxi Chanba (Chinese)
Shaanxi Baorong (Chinese),Shaanxi Chanba (Chinese)
Shaanxi Baorong (Chinese),Shaanxi Chanba (Chinese)
Shaanxi Baorong (Chinese),Shaanxi Chanba (Chinese)
Shaanxi Baorong (Chinese),Shaanxi Chanba (Chinese)
Shaanxi Baorong (Chinese),Shaanxi Chanba (Chinese)
Shaanxi Baorong (Chinese),Shaanxi Chanba (Chinese)
Shaanxi Baorong (Chinese),Shaanxi Chanba (Chinese)
Shaanxi Baorong (Chinese),Shaanxi Chanba (Chinese)
Shaanxi Baorong (Chinese),Shaanxi Chanba (Chinese)
Shaanxi Baorong (Chinese),Shaanxi Chanba (Chinese)
Shaanxi Baorong (Chinese),Shaanxi Chanba (Chinese)
Shandong Luneng (Chinese),Shenzhen Xiangxue (Chinese)
Shandong Luneng (Chinese),Liaoning Hongyun (Chinese)
Shanghai Shenhua (Chinese),Hangzhou Greentown (Chinese)
Shanghai Shenhua (Chinese),Wuhan Guanggu (Chinese)
Shanghai Shenhua (Chinese),Gimnasia y Esgrima (La Plata) (Argentinian)
Shanghai Shenhua (Chinese),Beijing Guo'an (Chinese)
Shanghai Shenhua (Chinese),Wuhan Guanggu (Chinese)
Shanghai Shenhua (Chinese),Changchun Yatai (Chinese)
Shenzhen Shangqingyin (Chinese),Shenzhen Xiangxue (Chinese)
Shenzhen Shangqingyin (Chinese),Shenzhen Xiangxue (Chinese)
Shenzhen Shangqingyin (Chinese),Shenzhen Xiangxue (Chinese)
Shenzhen Shangqingyin (Chinese),Shenzhen Xiangxue (Chinese)
Shenzhen Shangqingyin (Chinese),Shenzhen Xiangxue (Chinese)
Shenzhen Shangqingyin (Chinese),Shenzhen Xiangxue (Chinese)
Shenzhen Shangqingyin (Chinese),Shenzhen Xiangxue (Chinese)
Shenzhen Shangqingyin (Chinese),Shenzhen Xiangxue (Chinese)
Shenzhen Shangqingyin (Chinese),Shenzhen Xiangxue (Chinese)
Shenzhen Shangqingyin (Chinese),Shenzhen Xiangxue (Chinese)
Shenzhen Shangqingyin (Chinese),Shenzhen Xiangxue (Chinese)
Shenzhen Shangqingyin (Chinese),Shenzhen Xiangxue (Chinese)
Shenzhen Shangqingyin (Chinese),Shenzhen Xiangxue (Chinese)
Shenzhen Shangqingyin (Chinese),Shenzhen Xiangxue (Chinese)
Shenzhen Shangqingyin (Chinese),Shaanxi Chanba (Chinese)
Shenzhen Shangqingyin (Chinese),Shenzhen Xiangxue (Chinese)
Shenzhen Shangqingyin (Chinese),Shenzhen Xiangxue (Chinese)
Shenzhen Shangqingyin (Chinese),Shenzhen Xiangxue (Chinese)
Shenzhen Shangqingyin (Chinese),Shenzhen Xiangxue (Chinese)
Shenzhen Shangqingyin (Chinese),Shenzhen Xiangxue (Chinese)
Tianjin Teda (Chinese),Shenzhen Xiangxue (Chinese)
Tianjin Teda (Chinese),Shaanxi Chanba (Chinese)
Wuhan Guanggu (Chinese),Qingdao Jonoon (Chinese)
Wuhan Guanggu (Chinese),Henan Jianye (Chinese)
Wuhan Guanggu (Chinese),Chengdu Blades (Chinese)
Wuhan Guanggu (Chinese),Shaanxi Chanba (Chinese)
Wuhan Guanggu (Chinese),Guangzhou Pharmaceutical (Chinese)
Xiamen Lanshi (Chinese),Shenzhen Xiangxue (Chinese)
Xiamen Lanshi (Chinese),Changchun Yatai (Chinese)
Xiamen Lanshi (Chinese),Changchun Yatai (Chinese)
Xiamen Lanshi (Chinese),Energie Cottbus (German)
Xiamen Lanshi (Chinese),Chengdu Blades (Chinese)
Xiamen Lanshi (Chinese),Wuhan Guanggu (Chinese)
Xiamen Lanshi (Chinese),Changsha Ginde (Chinese)
Xiamen Lanshi (Chinese),Shaanxi Chanba (Chinese)
Zhejiang Lücheng (Chinese),Hangzhou Greentown (Chinese)
Zhejiang Lücheng (Chinese),Hangzhou Greentown (Chinese)
Zhejiang Lücheng (Chinese),Hangzhou Greentown (Chinese)
Zhejiang Lücheng (Chinese),Hangzhou Greentown (Chinese)
Zhejiang Lücheng (Chinese),Hangzhou Greentown (Chinese)
Zhejiang Lücheng (Chinese),Hangzhou Greentown (Chinese)
Zhejiang Lücheng (Chinese),Hangzhou Greentown (Chinese)
Zhejiang Lücheng (Chinese),Hangzhou Greentown (Chinese)
Zhejiang Lücheng (Chinese),Hangzhou Greentown (Chinese)
Zhejiang Lücheng (Chinese),Hangzhou Greentown (Chinese)
Zhejiang Lücheng (Chinese),Hangzhou Greentown (Chinese)
Zhejiang Lücheng (Chinese),Hangzhou Greentown (Chinese)
Zhejiang Lücheng (Chinese),Hangzhou Greentown (Chinese)
Aalborg (Danish),Vejle (Danish)
Aalborg (Danish),FC Midtjylland (Danish)
Aalborg (Danish),Vitesse (Dutch)
Aalborg (Danish),IF Elfsborg (Swedish)
Aalborg (Danish),Vejle (Danish)
Aarhus (Danish),Esbjerg (Danish)
Aarhus (Danish),Lille (French)
Brøndby (Danish),Aarhus (Danish)
Brøndby (Danish),Horsens (Danish)
Brøndby (Danish),Malmö FF (Swedish)
Brøndby (Danish),Arminia Bielefeld (German)
Esbjerg (Danish),Udinese (Italian)
Esbjerg (Danish),FC København (Danish)
IF Elfsborg (Swedish),Esbjerg (Danish)
Horsens (Danish),Odense (Danish)
Horsens (Danish),Brøndby (Danish)
FC København (Danish),Vejle (Danish)
FC København (Danish),FC Utrecht (Dutch)
Lyngby (Danish),Newcastle United Jets (Australian)
Lyngby (Danish),Randers (Danish)
FC Midtjylland (Danish),Aarhus (Danish)
FC Midtjylland (Danish),Motherwell (Scottish)
FC Midtjylland (Danish),Vejle (Danish)
FC Nordsjælland (Danish),Randers (Danish)
Helsingborgs IF (Swedish),FC Nordsjælland (Danish)
FC Nordsjælland (Danish),SønderjyskE (Danish)
FC Nordsjælland (Danish),FC Groningen (Dutch)
Start (Norwegian),Odense (Danish)
Odense (Danish),SCR Altach (Austrian)
Odense (Danish),FC Midtjylland (Danish)
Viking (Norwegian),Randers (Danish)
Viborg (Danish),Örebro SK (Swedish)
Viborg (Danish),Malmö FF (Swedish)
Viborg (Danish),Horsens (Danish)
Viborg (Danish),SønderjyskE (Danish)
Viborg (Danish),Real Salt Lake (USA)
Bohemians (Irish),St Patrick's Athletic (Irish)
Bohemians (Irish),Shamrock Rovers (Irish)
Bray Wanderers (Irish),Derry City (Irish)
Cork City (Irish),Cobh Ramblers (Irish)
Cork City (Irish),Cobh Ramblers (Irish)
Derry City (Irish),Finn Harps (Irish)
Derry City (Irish),Bohemians (Irish)
Derry City (Irish),Bohemians (Irish)
Derry City (Irish),Sligo Rovers (Irish)
Derry City (Irish),Celtic (Scottish)
Drogheda United (Irish),St Patrick's Athletic (Irish)
Drogheda United (Irish),Derry City (Irish)
Drogheda United (Irish),St Patrick's Athletic (Irish)
Drogheda United (Irish),Bray Wanderers (Irish)
Drogheda United (Irish),Bray Wanderers (Irish)
Galway United (Irish),Bray Wanderers (Irish)
Galway United (Irish),Cobh Ramblers (Irish)
Galway United (Irish),St Patrick's Athletic (Irish)
Galway United (Irish),Bray Wanderers (Irish)
Longford Town (Irish),Bray Wanderers (Irish)
Longford Town (Irish),Cork City (Irish)
Longford Town (Irish),Bohemians (Irish)
Longford Town (Irish),U.C.D. (Irish)
St Patrick's Athletic (Irish),Shamrock Rovers (Irish)
St Patrick's Athletic (Irish),Bohemians (Irish)
St Patrick's Athletic (Irish),Shamrock Rovers (Irish)
St Patrick's Athletic (Irish),Shamrock Rovers (Irish)
St Patrick's Athletic (Irish),Bray Wanderers (Irish)
Shamrock Rovers (Irish),Bray Wanderers (Irish)
Shamrock Rovers (Irish),Finn Harps (Irish)
Shamrock Rovers (Irish),Bray Wanderers (Irish)
Shamrock Rovers (Irish),Bray Wanderers (Irish)
Sligo Rovers (Irish),Drogheda United (Irish)
Sligo Rovers (Irish),Galway United (Irish)
U.C.D. (Irish),Derry City (Irish)
U.C.D. (Irish),Kilmarnock (Scottish)
Waterford United (Irish),Cobh Ramblers (Irish)
Waterford United (Irish),Cobh Ramblers (Irish)
Académica (Portuguese),Vitória Setúbal (Portuguese)
Académica (Portuguese),Hertha Berlin (German)
Académica (Portuguese),Denizlispor (Turkish)
Académica (Portuguese),Estrela da Amadora (Portuguese)
Académica (Portuguese),Sporting Braga (Portuguese)
Belenenses (Portuguese),Trofense (Portuguese)
Belenenses (Portuguese),VfL Wolfsburg (German)
Belenenses (Portuguese),Benfica (Portuguese)
Belenenses (Portuguese),Cruzeiro (Brazilian)
Belenenses (Portuguese),FC Porto (Portuguese)
Belenenses (Portuguese),Rio Ave (Portuguese)
Figueirense (Brazilian),Rio Ave (Portuguese)
Belenenses (Portuguese),Sporting Braga (Portuguese)
Belenenses (Portuguese),Siena (Italian)
Benfica (Portuguese),Vitória Guimarães (Portuguese)
Benfica (Portuguese),Fluminense (Brazilian)
Benfica (Portuguese),1.FC Köln (German)
Benfica (Portuguese),Vitória Setúbal (Portuguese)
Benfica (Portuguese),Betis (Spanish)
Benfica (Portuguese),Bayern Munich (German)
Benfica (Portuguese),Vitória Guimarães (Portuguese)
Benfica (Portuguese),FC Porto (Portuguese)
Benfica (Portuguese),Monaco (French)
Benfica (Portuguese),Bolton Wanderers (English)
Boavista (Portuguese),RAEC Mons (Belgian)
Boavista (Portuguese),Sporting Braga (Portuguese)
Boavista (Portuguese),Vitória Setúbal (Portuguese)
Boavista (Portuguese),Belenenses (Portuguese)
Boavista (Portuguese),Benfica (Portuguese)
Boavista (Portuguese),Nacional (Portuguese)
Boavista (Portuguese),Leixões (Portuguese)
Boavista (Portuguese),Asteras Tripolis (Greek)
Estrela da Amadora (Portuguese),Ergotelis (Greek)
Estrela da Amadora (Portuguese),Vitória Setúbal (Portuguese)
Estrela da Amadora (Portuguese),Académica (Portuguese)
Leixões (Portuguese),Saint-Etienne (French)
Leixões (Portuguese),PAOK (Greek)
Leixões (Portuguese),Racing Santander (Spanish)
Leixões (Portuguese),Sporting Braga (Portuguese)
Leixões (Portuguese),Naval (Portuguese)
Marítimo (Portuguese),Portuguesa (Brazilian)
Marítimo (Portuguese),Sporting Braga (Portuguese)
Marítimo (Portuguese),Sporting Braga (Portuguese)
Marítimo (Portuguese),Vitória Guimarães (Portuguese)
Marítimo (Portuguese),Goiás (Brazilian)
Marítimo (Portuguese),Asteras Tripolis (Greek)
Marítimo (Portuguese),Paços de Ferreira (Portuguese)
Internacional (Brazilian),Marítimo (Portuguese)
Marítimo (Portuguese),Asteras Tripolis (Greek)
Nacional (Portuguese),Marítimo (Portuguese)
Nacional (Portuguese),Portuguesa (Brazilian)
Nacional (Portuguese),Leixões (Portuguese)
Nacional (Portuguese),Rio Ave (Portuguese)
Goiás (Brazilian),Nacional (Portuguese)
Corinthians (Brazilian),Nacional (Portuguese)
Nacional (Portuguese),Trofense (Portuguese)
Nacional (Portuguese),Náutico (Brazilian)
América de Natal (Brazilian),Náutico (Brazilian)
Naval (Portuguese),Metalurh Donetsk (Ukrainian)
Naval (Portuguese),Trofense (Portuguese)
Naval (Portuguese),Belenenses (Portuguese)
Naval (Portuguese),Metalurh Donetsk (Ukrainian)
FC Porto (Portuguese),West Bromwich Albion (English)
FC Porto (Portuguese),Atlético Madrid (Spanish)
FC Porto (Portuguese),Chelsea (English)
FC Porto (Portuguese),Chelsea (English)
FC Porto (Portuguese),PAOK (Greek)
FC Porto (Portuguese),Trofense (Portuguese)
Sporting Braga (Portuguese),Santos (Brazilian)
Sporting Braga (Portuguese),Falkirk (Scottish)
Sporting Braga (Portuguese),Belenenses (Portuguese)
Sporting Braga (Portuguese),PAOK (Greek)
Sporting Braga (Portuguese),Leixões (Portuguese)
Sporting Braga (Portuguese),FC Porto (Portuguese)
Sporting CP (Portuguese),Kayserispor (Turkish)
Sporting CP (Portuguese),Stabæk (Norwegian)
Sporting CP (Portuguese),Palmeiras (Brazilian)
Sporting CP (Portuguese),Getafe (Spanish)
Sporting CP (Portuguese),Estrela da Amadora (Portuguese)
União de Leiria (Portuguese),Sporting Braga (Portuguese)
União de Leiria (Portuguese),Leixões (Portuguese)
União de Leiria (Portuguese),FC Volendam (Dutch)
Vitória Guimarães (Portuguese),Shandong Luneng (Chinese)
Vitória Guimarães (Portuguese),1.FC Köln (German)
Vitória Guimarães (Portuguese),Sporting Braga (Portuguese)
Vitória Setúbal (Portuguese),Paços de Ferreira (Portuguese)
Vitória Setúbal (Portuguese),Trofense (Portuguese)
Vitória Setúbal (Portuguese),Sporting Braga (Portuguese)
Arsenal Kiev (Ukrainian),Dynamo Kiev (Ukrainian)
Arsenal Kiev (Ukrainian),Shakhtar Donetsk (Ukrainian)
Chernomorets Odessa (Ukrainian),Metalurh Donetsk (Ukrainian)
Chernomorets Odessa (Ukrainian),Metalurh Donetsk (Ukrainian)
Chernomorets Odessa (Ukrainian),Vorskla Poltava (Ukrainian)
Chernomorets Odessa (Ukrainian),Tavriya Simferopol (Ukrainian)
Chernomorets Odessa (Ukrainian),Metalurh Donetsk (Ukrainian)
Dnipro Dnipropetrovsk (Ukrainian),Tavriya Simferopol (Ukrainian)
Dnipro Dnipropetrovsk (Ukrainian),Kryvbas Kryvyi Rih (Ukrainian)
Dnipro Dnipropetrovsk (Ukrainian),Arsenal Kiev (Ukrainian)
